1;Informatique : Algorithmique et programmation Objet;0;36;36;S1INFAGLOP
2;Maths : calculus et raisonnement;12;60;0;S1INFCALCR
3;Mécanique du point;0;32;4;S1INFMECAP
4;Electrostatique et électrocinétique;0;32;4;S1INFELECE
5;Remise a niveau en mathématiques;0;42;0;S1INFREMIS
6;Soutien en programmation (java);0;15;0;S1INFSOUTP
7;Anglais;0;18;0;S1INFANGLA
8;Compétences documentaires;0;6;0;S1INFCOMPC
9;Compétences numériques;3;15;0;S1INFCOMPN
10;Communication;0;18;0;S1INFCOMMU
